意味,意味読み,歌,歌読み
釣り船の漁師よ、都の人に私のことを知らせておくれ。島々を目指し、広い海へ船をこぎ出していったと。,釣り船の漁師よ、都の人に私のことを知らせておくれ。島々を目指し、広いうみへ船をこぎ出していったと。,わたの原　八十島かけて　漕ぎ出でぬと　人には告げよ　海人の釣舟,わたのはら、やそしまかけて、こぎいでぬと、ひとにわつげよ、あまのつりぶね
空の風よ、雲を吹き寄せて、天へ帰る道をふさいでおくれ。天女のように舞う乙女たちを、もう少しここにとどめておきたい。,空の風よ、雲を吹き寄せて、天へ帰る道をふさいでおくれ。てんにょのように舞う乙女たちを、もう少しここにとどめておきたい。,天つ風　雲のかよひぢ　吹きとぢよ　をとめの姿　しばしとどめむ,あまつかぜ、くものかよいじ、ふきとじよ、おとめのすがた、しばしとどめん
筑波山を下る男女川は、水を集めて深い淵になる。あなたを恋しく思う私の心も、積もり積もって、そんな深さになってしまった。,つくばさんを下るみなのがわは、水を集めて深いふちになる。あなたを恋しく思う私の心も、積もり積もって、そんな深さになってしまった。,筑波嶺の　峰より落つる　みなの川　恋ぞつもりて　淵となりぬる,つくばねの、みねよりおつる、みなのがわ、こいぞつもりて、ふちとなりぬる
陸奥のしのぶもじずりの模様さながら、私の心は乱れている。自分から望んだわけでもないのに、こうなったのは、あなたのためではないか。,みちのくのしのぶもじずりの模様さながら、私の心は乱れている。自分から望んだわけでもないのに、こうなったのは、あなたのためではないか。,みちのくの　しのぶもぢずり　たれゆゑに　乱れそめにし　我ならなくに,みちのくの、しのぶもじずり、たれゆえに、みだれそめにし、われならなくに
あなたに贈る若菜を摘もうと、春の野に出ている。摘んでいる私の袖には、雪が次々と降りかかる。,あなたに贈る若菜をつもうと、春の野に出ている。つんでいる私のそでには、雪が次々とふりかかる。,君がため　春の野に出でて　若菜つむ　我が衣手に　雪は降りつつ,きみがため、はるののにいでて、わかなつむ、わがころもでに、ゆきわふりつつ
別れて因幡へ向かうけれど、あの山に生える松の木のように、私を待つと聞かせてくれるなら、すぐにでも帰ってこよう。,別れていなばへ向かうけれど、あの山に生える松の木のように、私を待つと聞かせてくれるなら、すぐにでも帰ってこよう。,たち別れ　いなばの山の　峰に生ふる　まつとし聞かば　いま帰りこむ,たちわかれ、いなばのやまの、みねにおうる、まつとしきかば、いまかえりこん
竜田川は、浮かぶ紅葉で水まで鮮やかな赤い絞り染めにしている。こんな眺めは、不思議なことの多い神々の時代にさえ聞いたことがない。,たつたがわは、浮かぶもみじで水まで鮮やかな赤いしぼりぞめにしている。こんな眺めは、不思議なことの多い神々の時代にさえ聞いたことがない。,ちはやぶる　神代も聞かず　龍田川　からくれなゐに　水くくるとは,ちはやぶる、かみよもきかず、たつたがわ、からくれないに、みずくくるとわ
住の江の岸には波が寄せるのに、あなたは夜の夢にさえ来てくれない。夢の中で会う道でも、人目を気にしているのだろうか。,すみのえの岸には波が寄せるのに、あなたは夜の夢にさえ来てくれない。夢の中で会う道でも、人目を気にしているのだろうか。,住の江の　岸による波　よるさへや　夢の通ひ路　人目よくらむ,すみのえの、きしによるなみ、よるさえや、ゆめのかよいじ、ひとめよくらん
難波潟の葦の節の間ほど、ほんの短い時間でさえ会ってくれないのですか。このまま、あなたに会わずに生きていけというのでしょうか。,なにわがたのあしのふしの間ほど、ほんの短い時間でさえ会ってくれないのですか。このまま、あなたに会わずに生きていけというのでしょうか。,難波潟　みじかき葦の　ふしの間も　逢はでこの世を　過ぐしてよとや,なにわがた、みじかきあしの、ふしのまも、あわでこのよお、すぐしてよとや
会えずに苦しみ抜いた今は、もう身を滅ぼしたのと変わらない。たとえこの身を失っても、あなたに会いたいと思う。,会えずに苦しみ抜いた今は、もう身を滅ぼしたのと変わらない。たとえこの身を失っても、あなたに会いたいと思う。,わびぬれば　今はた同じ　難波なる　身をつくしても　逢はむとぞ思ふ,わびぬれば、いまハたおなじ、なにわなる、みおつくしても、あわんとぞおもう
すぐに行くというあなたの言葉を頼みに、秋の夜を待ち明かしてしまった。あなたを待っていたのに、出会ったのは明け方の月だった。,すぐに行くというあなたの言葉を頼みに、秋の夜を待ち明かしてしまった。あなたを待っていたのに、出会ったのは明け方の月だった。,今来むと　いひしばかりに　長月の　有明の月を　待ち出でつるかな,いまこんと、いいしばかりに、ながつきの、ありあけのつきお、まちいでつるかな
風が山から吹きつけると、秋の草木がすぐにしおれてしまう。なるほど、これほど草木を荒らすから、嵐と呼ぶのだろう。,風が山からふきつけると、秋の草木がすぐにしおれてしまう。なるほど、これほど草木を荒らすから、嵐と呼ぶのだろう。,吹くからに　秋の草木の　しをるれば　むべ山風を　あらしといふらむ,ふくからに、あきのくさきの、しおるれば、むべやまかぜお、あらしというらん
月を見ていると、あれもこれも悲しく思えてくる。秋が来たのは、私ひとりのところだけではないのに。,月を見ていると、あれもこれも悲しく思えてくる。秋が来たのは、私ひとりのところだけではないのに。,月見れば　千々にものこそ　かなしけれ　我が身ひとつの　秋にはあらねど,つきみれば、ちぢにものこそ、かなしけれ、わがみひとつの、あきにわあらねど
今度の旅では神にささげる品を用意できず、代わりに手向山の、錦のような紅葉をお供えします。神よ、お心のままにお受け取りください。,今度の旅では神にささげる品を用意できず、代わりにたむけやまの、にしきのようなもみじをお供えします。神よ、お心のままにお受け取りください。,このたびは　幣もとりあへず　手向山　もみぢの錦　神のまにまに,このたびわ、ぬさもとりあえず、たむけやま、もみじのにしき、かみのまにまに
会うことを思わせる逢坂山、一緒に寝ることを思わせるさねかずら、その名のとおりに願いがかなうなら、つるをたぐるように、誰にも知られず、あなたのもとへ行く手立てがほしい。,会うことを思わせるおうさかやま、一緒に寝ることを思わせるさねかずら、その名のとおりに願いがかなうなら、つるをたぐるように、誰にも知られず、あなたのもとへ行くてだてがほしい。,なにしおはば　逢坂山の　さねかづら　人に知られで　くるよしもがな,なにしおわば、おうさかやまの、さねかずら、ひとにしられで、くるよしもがな
小倉山の頂を彩る紅葉よ、お前たちに心があるなら、もう一度天皇がおいでになるまで散らずに待っていておくれ。,おぐらやまの頂を彩るもみじよ、お前たちに心があるなら、もう一度天皇がおいでになるまで散らずに待っていておくれ。,小倉山　峰のもみぢ葉　心あらば　今ひとたびの　みゆき待たなむ,おぐらやま、みねのもみじば、こころあらば、いまひとたびの、みゆきまたなん
みかの原を分けて流れる泉川。いつ会ったというのだろう、まだ会ったこともないあなたが、なぜこれほど恋しいのか。,みかの原を分けて流れるいずみがわ。いつ会ったというのだろう、まだ会ったこともないあなたが、なぜこれほど恋しいのか。,みかの原　わきて流るる　いづみ川　いつみきとてか　恋しかるらむ,みかのはら、わきてながるる、いずみがわ、いつみきとてか、こいしかるらん
山里で暮らす寂しさは、冬になるとひとしお身にしみる。訪ねてくる人も途絶え、草も枯れてしまうのだから。,山里で暮らす寂しさは、冬になるとひとしお身にしみる。訪ねてくる人も途絶え、草も枯れてしまうのだから。,山里は　冬ぞさびしさ　まさりける　人目も草も　かれぬと思へば,やまざとわ、ふゆぞさびしさ、まさりける、ひとめもくさも、かれぬとおもえば
白菊を一輪折りたいが、初霜と花の白さが溶け合って、どれが花か分からない。見当をつけて手を伸ばすしかなさそうだ。,しらぎくを一輪折りたいが、はつしもと花の白さがとけあって、どれが花か分からない。見当をつけて手を伸ばすしかなさそうだ。,心あてに　折らばや折らむ　初霜の　おきまどはせる　白菊の花,こころあてに、おらばやおらん、はつしもの、おきまどわせる、しらぎくのはな
夜明けの月まで冷たく感じられた、あの別れの朝。それ以来、明け方ほどつらい時はない。,夜明けの月まで冷たく感じられた、あの別れの朝。それ以来、明け方ほどつらい時はない。,有明の　つれなく見えし　別れより　あかつきばかり　憂きものはなし,ありあけの、つれなくみえし、わかれより、あかつきばかり、うきものわなし
吉野の里に積もった雪が、明け方の景色を白く照らしている。まだ空にある月の光なのかと見まちがえるほどだ。,よしのの里に積もった雪が、明け方の景色を白く照らしている。まだ空にある月の光なのかと見まちがえるほどだ。,朝ぼらけ　有明の月と　見るまでに　吉野の里に　降れる白雪,あさぼらけ、ありあけのつきと、みるまでに、よしののさとに、ふれるしらゆき
山あいの川に、流れをせき止めるものができている。風が運んできた紅葉が、流れきれずにたまっていたのだ。,山あいの川に、流れをせきとめるものができている。風が運んできたもみじが、流れきれずにたまっていたのだ。,山川に　風のかけたる　しがらみは　流れもあへぬ　もみぢなりけり,やまがわに、かぜのかけたる、しがらみわ、ながれもあえぬ、もみじなりけり
春の日差しはこんなに穏やかなのに、桜の花はどうして落ち着かずに散っていくのだろう。,春の日差しはこんなに穏やかなのに、桜の花はどうして落ち着かずに散っていくのだろう。,ひさかたの　光のどけき　春の日に　しづ心なく　花の散るらむ,ひさかたの、ひかりのどけき、はるのひに、しずこころなく、はなのちるらん
これからは誰を、心を通わせる友とすればよいのか。長く生きる高砂の松でさえ、昔を共にした友ではないのに。,これからは誰を、心を通わせる友とすればよいのか。長く生きるたかさごの松でさえ、昔を共にした友ではないのに。,誰をかも　知る人にせむ　高砂の　松も昔の　友ならなくに,たれおかも、しるひとにせん、たかさごの、まつもむかしの、ともならなくに
あなたの心が以前と変わったかどうか、私には分からない。ただ、なじみのこの里では、梅が昔と同じ香りを漂わせている。,あなたの心が以前と変わったかどうか、私には分からない。ただ、なじみのこの里では、梅が昔と同じ香りを漂わせている。,人はいさ　心も知らず　ふるさとは　花ぞ昔の　香ににほひける,ひとわいさ、こころもしらず、ふるさとわ、花ぞむかしの、かににおいける
まだ宵のうちと思っていたのに、夏の短い夜はもう明けた。沈む暇もなかった月は、雲のどこに宿を取ったのだろう。,まだ宵のうちと思っていたのに、夏の短い夜はもう明けた。沈む暇もなかった月は、雲のどこに宿を取ったのだろう。,夏の夜は　まだ宵ながら　明けぬるを　雲のいづこに　月宿るらむ,なつのよわ、まだよいながら、あけぬるお、くものいずこに、つきやどるらん
秋の野を風が吹き渡るたび、草の露が飛び散っている。まるで糸につないでおかなかった宝石が、ばらばらにこぼれるようだ。,秋の野を風が吹き渡るたび、草の露が飛び散っている。まるで糸につないでおかなかった宝石が、ばらばらにこぼれるようだ。,白露に　風の吹きしく　秋の野は　つらぬきとめぬ　玉ぞ散りける,しらつゆに、かぜのふきしく、あきののわ、つらぬきとめぬ、たまぞちりける
あなたに忘れられる私のことは構わない。心を変えないと神に誓ったあなたが、誓いを破ったために命を失いはしないか、それが惜しくてならない。,あなたに忘れられる私のことは構わない。心を変えないと神に誓ったあなたが、誓いを破ったために命を失いはしないか、それが惜しくてならない。,忘らるる　身をば思はず　ちかひてし　人の命の　惜しくもあるかな,わすらるる、みおばおもわず、ちかいてし、ひとのいのちの、おしくもあるかな
人に知られないよう、恋心を隠してきた。それでも胸に収まりきらず、どうしてこんなにあなたが恋しいのだろう。,人に知られないよう、恋心を隠してきた。それでも胸に収まりきらず、どうしてこんなにあなたが恋しいのだろう。,浅茅生の　小野の篠原　しのぶれど　あまりてなどか　人の恋しき,あさじうの、おののしのはら、しのぶれど、あまりてなどか、ひとのこいしき
隠していたつもりの恋が、顔に出てしまった。「何か悩みがあるのですか」と、人に尋ねられるほどに。,隠していたつもりの恋が、顔に出てしまった。「何か悩みがあるのですか」と、人に尋ねられるほどに。,しのぶれど　色に出でにけり　我が恋は　物や思ふと　人のとふまで,しのぶれど、いろにいでにけり、わがこいわ、ものやおもうと、ひとのとうまで
ひそかに思い始めたばかりなのに、もう私が恋をしているといううわさが広まってしまった。,ひそかに思い始めたばかりなのに、もう私が恋をしているといううわさが広まってしまった。,恋すてふ　我が名はまだき　立ちにけり　人知れずこそ　思ひそめしか,こいすちょう、わがなわまだき、たちにけり、ひとしれずこそ、おもいそめしか
涙でぬれた袖を互いに絞りながら、二人で誓ったではないか。末の松山を波が越えることのないように、決して心を変えないと。,涙でぬれたそでを互いに絞りながら、二人で誓ったではないか。すえのまつやまを波が越えることのないように、決して心を変えないと。,契りきな　かたみに袖を　しぼりつつ　末の松山　波越さじとは,ちぎりきな、かたみにそでお、しぼりつつ、すえのまつやま、なみこさじとわ
あなたと会って結ばれた今の思いに比べれば、以前の恋の苦しさなど、何も悩んでいなかったようなものだ。,あなたと会って結ばれた今の思いに比べれば、以前の恋の苦しさなど、何も悩んでいなかったようなものだ。,あひみての　後の心に　くらぶれば　昔は物を　思はざりけり,あいみての、のちのこころに、くらぶれば、むかしわものお、おもわざりけり
初めからあなたと会うことがなかったなら、自分の身もあなたのことも、こんなに恨まずにすんだだろうに。,初めからあなたと会うことがなかったなら、自分の身もあなたのことも、こんなに恨まずにすんだだろうに。,逢ふことの　たえてしなくは　なかなかに　人をも身をも　恨みざらまし,あうことの、たえてしなくわ、なかなかに、ひとおもみおも、うらみざらまし
私を気の毒だと言ってくれそうな人も、思い当たらない。このまま報われることもなく、命を終えてしまうのだろうか。,私を気の毒だと言ってくれそうな人も、思い当たらない。このまま報われることもなく、命を終えてしまうのだろうか。,あはれとも　いふべき人は　思ほえで　身のいたづらに　なりぬべきかな,あわれとも、いうべきひとわ、おもおえで、みのいたずらに、なりぬべきかな
由良の海峡を渡る船が、かじを失って流されるように、私の恋もどこへ向かうのか分からない。,ゆらの海峡を渡る船が、かじを失って流されるように、私の恋もどこへ向かうのか分からない。,由良のとを　渡る舟人　梶を絶え　行方も知らぬ　恋の道かな,ゆらのとお、わたるふなびと、かじおたえ、ゆくえもしらぬ、こいのみちかな
つる草が幾重にも茂った家で、寂しく暮らしている。誰も訪ねてこないが、秋だけはやって来た。,つる草が幾重にも茂った家で、寂しく暮らしている。誰も訪ねてこないが、秋だけわやって来た。,八重葎　しげれる宿の　さびしきに　人こそ見えね　秋は来にけり,やえむぐら、しげれるやどの、さびしきに、ひとこそみえね、あきわきにけり
強い風に押されて岩へぶつかり、自分だけが砕ける波のようだ。このごろの私は、ひとり心を砕いて恋に悩んでいる。,強いかぜに押されて岩へぶつかり、自分だけが砕ける波のようだ。このごろの私は、ひとり心を砕いて恋に悩んでいる。,風をいたみ　岩うつ波の　おのれのみ　砕けて物を　思ふころかな,かぜおいたみ、いわうつなみの、おのれのみ、くだけてものお、おもうころかな
宮中を守る番人の火のように、夜には恋心が燃え上がる。昼には消え入りそうになりながら、あなたを思い続けている。,宮中を守る番人の火のように、夜には恋心が燃え上がる。昼にはきえいりそうになりながら、あなたを思い続けている。,みかきもり　衛士のたく火の　夜はもえ　昼は消えつつ　物をこそ思へ,みかきもり、えじのたくひの、よるわもえ、ひるわきえつつ、ものおこそおもえ
あなたのためなら失っても惜しくなかった命なのに、今は長く生きたいと思う。あなたといつまでも一緒にいられるように。,あなたのためなら失っても惜しくなかった命なのに、今は長く生きたいと思う。あなたといつまでも一緒にいられるように。,君がため　惜しからざりし　命さへ　長くもがなと　思ひけるかな,きみがため、おしからざりし、いのちさえ、ながくもがなと、おもいけるかな
こんなに恋しいと、あなたに言うことさえできない。伊吹山のもぐさが燃えるような私の思いを、あなたは知らないのだろう。,こんなに恋しいと、あなたに言うことさえできない。いぶきやまのもぐさが燃えるような私の思いを、あなたは知らないのだろう。,かくとだに　えやはいぶきの　さしも草　さしもしらじな　もゆる思ひを,かくとだに、えやわいぶきの、さしもぐさ、さしもしらじな、もゆるおもいお
朝が来ても、また日が暮れることは分かっている。それでも、あなたと別れるこの夜明けが恨めしい。,朝が来ても、また日が暮れることは分かっている。それでも、あなたと別れるこの夜明けが恨めしい。,明けぬれば　暮るるものとは　知りながら　なほ恨めしき　朝ぼらけかな,あけぬれば、くるるものとわ、しりながら、なおうらめしき、あさぼらけかな
嘆きながらひとりで寝る夜が、明けるまでどれほど長いか。あなたには分かるでしょうか。,嘆きながらひとりで寝る夜が、明けるまでどれほど長いか。あなたには分かるでしょうか。,嘆きつつ　ひとりぬる夜の　明くるまは　いかに久しき　ものとかはしる,なげきつつ、ひとりぬるよの、あくるまわ、いかにひさしき、ものとかわしる
いつまでも忘れないというあなたの言葉も、遠い先まで変わらないとは限らない。それなら、うれしい今日のままで私の命が終わってほしい。,いつまでも忘れないというあなたの言葉も、遠い先まで変わらないとは限らない。それなら、うれしい今日のままで私の命が終わってほしい。,忘れじの　行末までは　難ければ　今日を限りの　命ともがな,わすれじの、ゆくすえまでわ、かたければ、きょうおかぎりの、いのちともがな
滝の流れる音が消えてから、ずいぶん長い年月が過ぎた。それでも、その名声は今も人々の間に伝わっている。,滝の流れるおとが消えてから、ずいぶん長い年月が過ぎた。それでも、その名声は今も人々の間に伝わっている。,滝の音は　絶えて久しく　なりぬれど　名こそ流れて　なほ聞こえけれ,たきのおとわ、たえてひさしく、なりぬれど、なこそながれて、なおきこえけれ
私はもう長くは生きられないでしょう。あの世へ持っていく思い出に、もう一度だけあなたに会いたい。,私はもう長くは生きられないでしょう。あの世へ持っていく思い出に、もう一度だけあなたに会いたい。,あらざらむ　この世のほかの　思ひ出に　今ひとたびの　あふこともがな,あらざらん、このよのほかの、おもいでに、いまひとたびの、あうこともがな
やっと会えたのに、本当にあなただったのかと思う間もなく、姿が消えてしまった。雲に隠れる夜の月のように。,やっと会えたのに、本当にあなただったのかと思う間もなく、姿が消えてしまった。雲に隠れる夜の月のように。,めぐり逢ひて　見しやそれとも　わかぬ間に　雲隠れにし　夜半の月かな,めぐりあいて、みしやそれとも、わかぬまに、くもがくれにし、よわのつきかな
有馬山の近く、猪名の笹原に風が吹けば、そよそよと音がする。そう、あなたを忘れることなど、あるはずがない。,ありまやまの近く、いなの笹原に風が吹けば、そよそよとおとがする。そう、あなたを忘れることなど、あるはずがない。,有馬山　猪名の笹原　風吹けば　いでそよ人を　忘れやはする,ありまやま、いなのささはら、かぜふけば、いでそよひとお、わすれやわする
来ないと分かっていたなら、ためらわずに寝てしまったのに。あなたを待つうちに夜は更け、月が傾くまで眺めてしまった。,来ないと分かっていたなら、ためらわずに寝てしまったのに。あなたを待つうちによわ更け、月がかたむくまで眺めてしまった。,やすらはで　寝なましものを　小夜ふけて　かたぶくまでの　月を見しかな,やすらわで、ねなましものお、さよふけて、かたぶくまでの、つきおみしかな
大江山を越え、生野を通る道は遠いので、まだ天の橋立へは行ったことがありません。そこからの便りも見ていません。,おおえやまを越え、いくのを通る道は遠いので、まだあまのはしだてへは行ったことがありません。そこからの便りも見ていません。,大江山　いく野の道の　遠ければ　まだふみも見ず　天の橋立,おおえやま、いくののみちの、とおければ、まだふみもみず、あまのはしだて
昔の都、奈良で咲いていた八重桜が、今日はこの宮中で、ひときわ美しく咲いている。,昔の都、奈良で咲いていたやえざくらが、今日はこの宮中で、ひときわ美しく咲いている。,いにしへの　奈良の都の　八重桜　けふ九重に　にほひぬるかな,いにしえの、ならのみやこの、やえざくら、きょうここのえに、においぬるかな
夜明け前に鶏の鳴き声をまねて、だまそうとしても無駄です。あなたと会うための逢坂の関は、それでは開きません。,夜明け前ににわとりの鳴き声をまねて、だまそうとしても無駄です。あなたと会うためのおうさかの関は、それでは開きません。,夜をこめて　鳥の空音は　はかるとも　よに逢坂の　関はゆるさじ,よおこめて、とりのそらねわ、はかるとも、よにおうさかの、せきわゆるさじ
今はもう、あなたを思うのをやめようと決めました。その一言だけでも、人づてではなく、直接伝えるすべがあればよいのに。,今はもう、あなたを思うのをやめようと決めました。その一言だけでも、人づてではなく、直接伝えるすべがあればよいのに。,今はただ　思ひ絶えなむ　とばかりを　人づてならで　言うよしもがな,いまわただ、おもいたえなん、とばかりお、ひとづてならで、いうよしもがな
夜が明け、宇治川の霧がところどころ薄れていく。その切れ間から、魚を捕る仕掛けの杭が、浅瀬ごとに姿を現している。,夜が明け、うじがわの霧がところどころ薄れていく。そのきれまから、魚を捕る仕掛けのくいが、浅瀬ごとに姿を現している。,朝ぼらけ　宇治の川霧　絶えだえに　あらはれわたる　瀬々の網代木,あさぼらけ、うじのかわぎり、たえだえに、あらわれわたる、せぜのあじろぎ
恨みを抱いて泣き続けても、涙にぬれる袖は朽ちずに残っている。それなのに、この恋のために私の評判まで失われるのが惜しい。,恨みを抱いて泣き続けても、涙にぬれるそでは朽ちずに残っている。それなのに、この恋のために私の評判まで失われるのが惜しい。,うらみわび　干さぬ袖だに　あるものを　恋に朽ちなむ　名こそ惜しけれ,うらみわび、ほさぬそでだに、あるものお、こいにくちなん、なこそおしけれ
山桜よ、私がお前をいとしく思うように、お前も私を思っておくれ。この山には、お前のほかに心を通わせる相手はいない。,山桜よ、私がお前をいとしく思うように、お前も私を思っておくれ。この山には、お前のほかに心を通わせる相手はいない。,もろともに　あはれと思へ　山桜　花よりほかに　知る人もなし,もろともに、あわれとおもえ、やまざくら、はなよりほかに、しるひともなし
春の夜の夢ほどの、はかない腕枕のために、浮いたうわさを立てられてはたまらない。そんなことで私の名を傷つけるのは惜しいのです。,春の夜の夢ほどの、はかない腕枕のために、浮いたうわさを立てられてはたまらない。そんなことで私の名を傷つけるのは惜しいのです。,春の夜の　夢ばかりなる　手枕に　かひなく立たむ　名こそ惜しけれ,はるのよの、ゆめばかりなる、たまくらに、かいなくたたん、なこそおしけれ
つらい世の中でも、この先を生きるなら、いつか懐かしく振り返るのだろうか。今夜、夜更けの月を眺めていたことも。,つらい世の中でも、この先を生きるなら、いつか懐かしく振り返るのだろうか。今夜、夜更けの月を眺めていたことも。,心にも　あらで憂き世に　ながらへば　恋しかるべき　夜半の月かな,こころにも、あらでうきよに、ながらえば、こいしかるべき、よわのつきかな
嵐に散らされた三室山の紅葉が、竜田川を彩っている。川の流れが、美しい錦の織物になったようだ。,嵐に散らされたみむろやまのもみじが、たつたがわを彩っている。川の流れが、美しいにしきの織物になったようだ。,あらし吹く　三室の山の　もみぢ葉は　龍田の川の　錦なりけり,あらしふく、みむろのやまの、もみじばわ、たつたのかわの、にしきなりけり
寂しさに耐えかねて家を出てみたが、どこを眺めても同じだった。秋の夕暮れは、辺り一面に寂しさが満ちている。,寂しさに耐えかねていえを出てみたが、どこを眺めても同じだった。秋の夕暮れは、辺り一面に寂しさが満ちている。,さびしさに　宿を立ち出でて　ながむれば　いづこも同じ　秋の夕暮,さびしさに、やどおたちいでて、ながむれば、いずこもおなじ、あきのゆうぐれ
夕方になると、家の前の田で稲の葉が音を立てる。その葉を揺らした秋風が、葦ぶきの小屋へ吹いてくる。,夕方になると、家の前の田で稲の葉がおとを立てる。その葉を揺らした秋風が、あしぶきの小屋へ吹いてくる。,夕されば　門田の稲葉　おとづれて　蘆のまろ屋に　秋風ぞ吹く,ゆうされば、かどたのいなば、おとずれて、あしのまろやに、あきかぜぞふく
評判に聞く高師の浜の波には、袖をぬらされまい。浮気者とうわさされるあなたにも心を寄せません、涙で袖をぬらすことになっては困るから。,評判に聞くたかしの浜の波には、そでをぬらされまい。うわきものとうわさされるあなたにも心を寄せません、涙でそでをぬらすことになっては困るから。,音に聞く　高師の浜の　あだ波は　かけじや袖の　濡れもこそすれ,おとにきく、たかしの浜の、あだなみわ、かけじやそでの、ぬれもこそすれ
遠くの山の頂で、桜が咲いた。手前の山にかかる霞よ、どうか立ちこめず、その花を隠さないでほしい。,遠くの山の頂で、桜が咲いた。手前の山にかかるかすみよ、どうか立ちこめず、その花を隠さないでほしい。,高砂の　尾上の桜　咲きにけり　外山の霞　立たずもあらなむ,たかさごの、おのえのさくら、さきにけり、とやまのかすみ、たたずもあらなん
初瀬の山から吹き下ろす風よ、あの人の冷たさまで激しくしてくれとは祈らなかったのに。,はつせの山から吹き下ろす風よ、あの人の冷たさまで激しくしてくれとは祈らなかったのに。,憂かりける　人を初瀬の　山おろし　はげしかれとは　祈らぬものを,うかりける、ひとおはつせの、やまおろし、はげしかれとわ、いのらぬものお
あなたが約束してくれた言葉を、よもぎの露のように、命をつなぐ頼りとしてきた。ああ、それでも今年の秋は過ぎていくようだ。,あなたが約束してくれた言葉を、よもぎの露のように、命をつなぐ頼りとしてきた。ああ、それでも今年の秋は過ぎていくようだ。,契りおきし　させもが露を　命にて　あはれ今年の　秋もいぬめり,ちぎりおきし、させもがつゆお、いのちにて、あわれことしの、あきもいぬめり
