意味,意味読み
空の風よ、雲を吹き寄せて、天へ帰る道をふさいでおくれ。天女のように舞う乙女たちを、もう少しここにとどめておきたい。,空の風よ、雲を吹き寄せて、天へ帰る道をふさいでおくれ。てんにょのように舞う乙女たちを、もう少しここにとどめておきたい。
筑波山を下る男女川は、水を集めて深い淵になる。あなたを恋しく思う私の心も、積もり積もって、そんな深さになってしまった。,つくばさんを下るみなのがわは、水を集めて深いふちになる。あなたを恋しく思う私の心も、積もり積もって、そんな深さになってしまった。
陸奥のしのぶもじずりの模様さながら、私の心は乱れている。自分から望んだわけでもないのに、こうなったのは、あなたのためではないか。,みちのくのしのぶもじずりの模様さながら、私の心は乱れている。自分から望んだわけでもないのに、こうなったのは、あなたのためではないか。
あなたに贈る若菜を摘もうと、春の野に出ている。摘んでいる私の袖には、雪が次々と降りかかる。,あなたに贈る若菜をつもうと、春の野に出ている。つんでいる私のそでには、雪が次々とふりかかる。
別れて因幡へ向かうけれど、あの山に生える松の木のように、私を待つと聞かせてくれるなら、すぐにでも帰ってこよう。,別れていなばへ向かうけれど、あの山に生える松の木のように、私を待つと聞かせてくれるなら、すぐにでも帰ってこよう。
竜田川は、浮かぶ紅葉で水まで鮮やかな赤い絞り染めにしている。こんな眺めは、不思議なことの多い神々の時代にさえ聞いたことがない。,たつたがわは、浮かぶもみじで水まで鮮やかな赤いしぼりぞめにしている。こんな眺めは、不思議なことの多い神々の時代にさえ聞いたことがない。
住の江の岸には波が寄せるのに、あなたは夜の夢にさえ来てくれない。夢の中で会う道でも、人目を気にしているのだろうか。,すみのえの岸には波が寄せるのに、あなたは夜の夢にさえ来てくれない。夢の中で会う道でも、人目を気にしているのだろうか。
難波潟の葦の節の間ほど、ほんの短い時間でさえ会ってくれないのですか。このまま、あなたに会わずに生きていけというのでしょうか。,なにわがたのあしのふしの間ほど、ほんの短い時間でさえ会ってくれないのですか。このまま、あなたに会わずに生きていけというのでしょうか。
会えずに苦しみ抜いた今は、もう身を滅ぼしたのと変わらない。たとえこの身を失っても、あなたに会いたいと思う。,会えずに苦しみ抜いた今は、もう身を滅ぼしたのと変わらない。たとえこの身を失っても、あなたに会いたいと思う。
すぐに行くというあなたの言葉を頼みに、秋の夜を待ち明かしてしまった。あなたを待っていたのに、出会ったのは明け方の月だった。,すぐに行くというあなたの言葉を頼みに、秋の夜を待ち明かしてしまった。あなたを待っていたのに、出会ったのは明け方の月だった。
風が山から吹きつけると、秋の草木がすぐにしおれてしまう。なるほど、これほど草木を荒らすから、嵐と呼ぶのだろう。,風が山からふきつけると、秋の草木がすぐにしおれてしまう。なるほど、これほど草木を荒らすから、嵐と呼ぶのだろう。
月を見ていると、あれもこれも悲しく思えてくる。秋が来たのは、私ひとりのところだけではないのに。,月を見ていると、あれもこれも悲しく思えてくる。秋が来たのは、私ひとりのところだけではないのに。
今度の旅では神にささげる品を用意できず、代わりに手向山の、錦のような紅葉をお供えします。神よ、お心のままにお受け取りください。,今度の旅では神にささげる品を用意できず、代わりにたむけやまの、にしきのようなもみじをお供えします。神よ、お心のままにお受け取りください。
会うことを思わせる逢坂山、一緒に寝ることを思わせるさねかずら、その名のとおりに願いがかなうなら、つるをたぐるように、誰にも知られず、あなたのもとへ行く手立てがほしい。,会うことを思わせるおうさかやま、一緒に寝ることを思わせるさねかずら、その名のとおりに願いがかなうなら、つるをたぐるように、誰にも知られず、あなたのもとへ行くてだてがほしい。
小倉山の頂を彩る紅葉よ、お前たちに心があるなら、もう一度天皇がおいでになるまで散らずに待っていておくれ。,おぐらやまの頂を彩るもみじよ、お前たちに心があるなら、もう一度天皇がおいでになるまで散らずに待っていておくれ。
みかの原を分けて流れる泉川。いつ会ったというのだろう、まだ会ったこともないあなたが、なぜこれほど恋しいのか。,みかの原を分けて流れるいずみがわ。いつ会ったというのだろう、まだ会ったこともないあなたが、なぜこれほど恋しいのか。
山里で暮らす寂しさは、冬になるとひとしお身にしみる。訪ねてくる人も途絶え、草も枯れてしまうのだから。,山里で暮らす寂しさは、冬になるとひとしお身にしみる。訪ねてくる人も途絶え、草も枯れてしまうのだから。
白菊を一輪折りたいが、初霜と花の白さが溶け合って、どれが花か分からない。見当をつけて手を伸ばすしかなさそうだ。,しらぎくを一輪折りたいが、はつしもと花の白さがとけあって、どれが花か分からない。見当をつけて手を伸ばすしかなさそうだ。
夜明けの月まで冷たく感じられた、あの別れの朝。それ以来、明け方ほどつらい時はない。,夜明けの月まで冷たく感じられた、あの別れの朝。それ以来、明け方ほどつらい時はない。
吉野の里に積もった雪が、明け方の景色を白く照らしている。まだ空にある月の光なのかと見まちがえるほどだ。,よしのの里に積もった雪が、明け方の景色を白く照らしている。まだ空にある月の光なのかと見まちがえるほどだ。
山あいの川に、流れをせき止めるものができている。風が運んできた紅葉が、流れきれずにたまっていたのだ。,山あいの川に、流れをせきとめるものができている。風が運んできたもみじが、流れきれずにたまっていたのだ。
春の日差しはこんなに穏やかなのに、桜の花はどうして落ち着かずに散っていくのだろう。,春の日差しはこんなに穏やかなのに、桜の花はどうして落ち着かずに散っていくのだろう。
これからは誰を、心を通わせる友とすればよいのか。長く生きる高砂の松でさえ、昔を共にした友ではないのに。,これからは誰を、心を通わせる友とすればよいのか。長く生きるたかさごの松でさえ、昔を共にした友ではないのに。
あなたの心が以前と変わったかどうか、私には分からない。ただ、なじみのこの里では、梅が昔と同じ香りを漂わせている。,あなたの心が以前と変わったかどうか、私には分からない。ただ、なじみのこの里では、梅が昔と同じ香りを漂わせている。
まだ宵のうちと思っていたのに、夏の短い夜はもう明けた。沈む暇もなかった月は、雲のどこに宿を取ったのだろう。,まだ宵のうちと思っていたのに、夏の短い夜はもう明けた。沈む暇もなかった月は、雲のどこに宿を取ったのだろう。
秋の野を風が吹き渡るたび、草の露が飛び散っている。まるで糸につないでおかなかった宝石が、ばらばらにこぼれるようだ。,秋の野を風が吹き渡るたび、草の露が飛び散っている。まるで糸につないでおかなかった宝石が、ばらばらにこぼれるようだ。
あなたに忘れられる私のことは構わない。心を変えないと神に誓ったあなたが、誓いを破ったために命を失いはしないか、それが惜しくてならない。,あなたに忘れられる私のことは構わない。心を変えないと神に誓ったあなたが、誓いを破ったために命を失いはしないか、それが惜しくてならない。
人に知られないよう、恋心を隠してきた。それでも胸に収まりきらず、どうしてこんなにあなたが恋しいのだろう。,人に知られないよう、恋心を隠してきた。それでも胸に収まりきらず、どうしてこんなにあなたが恋しいのだろう。
隠していたつもりの恋が、顔に出てしまった。「何か悩みがあるのですか」と、人に尋ねられるほどに。,隠していたつもりの恋が、顔に出てしまった。「何か悩みがあるのですか」と、人に尋ねられるほどに。
ひそかに思い始めたばかりなのに、もう私が恋をしているといううわさが広まってしまった。,ひそかに思い始めたばかりなのに、もう私が恋をしているといううわさが広まってしまった。
涙でぬれた袖を互いに絞りながら、二人で誓ったではないか。末の松山を波が越えることのないように、決して心を変えないと。,涙でぬれたそでを互いに絞りながら、二人で誓ったではないか。すえのまつやまを波が越えることのないように、決して心を変えないと。
あなたと会って結ばれた今の思いに比べれば、以前の恋の苦しさなど、何も悩んでいなかったようなものだ。,あなたと会って結ばれた今の思いに比べれば、以前の恋の苦しさなど、何も悩んでいなかったようなものだ。
初めからあなたと会うことがなかったなら、自分の身もあなたのことも、こんなに恨まずにすんだだろうに。,初めからあなたと会うことがなかったなら、自分の身もあなたのことも、こんなに恨まずにすんだだろうに。
私を気の毒だと言ってくれそうな人も、思い当たらない。このまま報われることもなく、命を終えてしまうのだろうか。,私を気の毒だと言ってくれそうな人も、思い当たらない。このまま報われることもなく、命を終えてしまうのだろうか。
由良の海峡を渡る船が、かじを失って流されるように、私の恋もどこへ向かうのか分からない。,ゆらの海峡を渡る船が、かじを失って流されるように、私の恋もどこへ向かうのか分からない。
つる草が幾重にも茂った家で、寂しく暮らしている。誰も訪ねてこないが、秋だけはやって来た。,つる草が幾重にも茂った家で、寂しく暮らしている。誰も訪ねてこないが、秋だけわやって来た。
強い風に押されて岩へぶつかり、自分だけが砕ける波のようだ。このごろの私は、ひとり心を砕いて恋に悩んでいる。,強いかぜに押されて岩へぶつかり、自分だけが砕ける波のようだ。このごろの私は、ひとり心を砕いて恋に悩んでいる。
宮中を守る番人の火のように、夜には恋心が燃え上がる。昼には消え入りそうになりながら、あなたを思い続けている。,宮中を守る番人の火のように、夜には恋心が燃え上がる。昼にはきえいりそうになりながら、あなたを思い続けている。
あなたのためなら失っても惜しくなかった命なのに、今は長く生きたいと思う。あなたといつまでも一緒にいられるように。,あなたのためなら失っても惜しくなかった命なのに、今は長く生きたいと思う。あなたといつまでも一緒にいられるように。
こんなに恋しいと、あなたに言うことさえできない。伊吹山のもぐさが燃えるような私の思いを、あなたは知らないのだろう。,こんなに恋しいと、あなたに言うことさえできない。いぶきやまのもぐさが燃えるような私の思いを、あなたは知らないのだろう。
朝が来ても、また日が暮れることは分かっている。それでも、あなたと別れるこの夜明けが恨めしい。,朝が来ても、また日が暮れることは分かっている。それでも、あなたと別れるこの夜明けが恨めしい。
嘆きながらひとりで寝る夜が、明けるまでどれほど長いか。あなたには分かるでしょうか。,嘆きながらひとりで寝る夜が、明けるまでどれほど長いか。あなたには分かるでしょうか。
いつまでも忘れないというあなたの言葉も、遠い先まで変わらないとは限らない。それなら、うれしい今日のままで私の命が終わってほしい。,いつまでも忘れないというあなたの言葉も、遠い先まで変わらないとは限らない。それなら、うれしい今日のままで私の命が終わってほしい。
滝の流れる音が消えてから、ずいぶん長い年月が過ぎた。それでも、その名声は今も人々の間に伝わっている。,滝の流れるおとが消えてから、ずいぶん長い年月が過ぎた。それでも、その名声は今も人々の間に伝わっている。
私はもう長くは生きられないでしょう。あの世へ持っていく思い出に、もう一度だけあなたに会いたい。,私はもう長くは生きられないでしょう。あの世へ持っていく思い出に、もう一度だけあなたに会いたい。
やっと会えたのに、本当にあなただったのかと思う間もなく、姿が消えてしまった。雲に隠れる夜の月のように。,やっと会えたのに、本当にあなただったのかと思う間もなく、姿が消えてしまった。雲に隠れる夜の月のように。
有馬山の近く、猪名の笹原に風が吹けば、そよそよと音がする。そう、あなたを忘れることなど、あるはずがない。,ありまやまの近く、いなの笹原に風が吹けば、そよそよとおとがする。そう、あなたを忘れることなど、あるはずがない。
来ないと分かっていたなら、ためらわずに寝てしまったのに。あなたを待つうちに夜は更け、月が傾くまで眺めてしまった。,来ないと分かっていたなら、ためらわずに寝てしまったのに。あなたを待つうちによわ更け、月がかたむくまで眺めてしまった。
大江山を越え、生野を通る道は遠いので、まだ天の橋立へは行ったことがありません。そこからの便りも見ていません。,おおえやまを越え、いくのを通る道は遠いので、まだあまのはしだてへは行ったことがありません。そこからの便りも見ていません。
昔の都、奈良で咲いていた八重桜が、今日はこの宮中で、ひときわ美しく咲いている。,昔の都、奈良で咲いていたやえざくらが、今日はこの宮中で、ひときわ美しく咲いている。
夜明け前に鶏の鳴き声をまねて、だまそうとしても無駄です。あなたと会うための逢坂の関は、それでは開きません。,夜明け前ににわとりの鳴き声をまねて、だまそうとしても無駄です。あなたと会うためのおうさかの関は、それでは開きません。
今はもう、あなたを思うのをやめようと決めました。その一言だけでも、人づてではなく、直接伝えるすべがあればよいのに。,今はもう、あなたを思うのをやめようと決めました。その一言だけでも、人づてではなく、直接伝えるすべがあればよいのに。
夜が明け、宇治川の霧がところどころ薄れていく。その切れ間から、魚を捕る仕掛けの杭が、浅瀬ごとに姿を現している。,夜が明け、うじがわの霧がところどころ薄れていく。そのきれまから、魚を捕る仕掛けのくいが、浅瀬ごとに姿を現している。
恨みを抱いて泣き続けても、涙にぬれる袖は朽ちずに残っている。それなのに、この恋のために私の評判まで失われるのが惜しい。,恨みを抱いて泣き続けても、涙にぬれるそでは朽ちずに残っている。それなのに、この恋のために私の評判まで失われるのが惜しい。
山桜よ、私がお前をいとしく思うように、お前も私を思っておくれ。この山には、お前のほかに心を通わせる相手はいない。,山桜よ、私がお前をいとしく思うように、お前も私を思っておくれ。この山には、お前のほかに心を通わせる相手はいない。
春の夜の夢ほどの、はかない腕枕のために、浮いたうわさを立てられてはたまらない。そんなことで私の名を傷つけるのは惜しいのです。,春の夜の夢ほどの、はかない腕枕のために、浮いたうわさを立てられてはたまらない。そんなことで私の名を傷つけるのは惜しいのです。
つらい世の中でも、この先を生きるなら、いつか懐かしく振り返るのだろうか。今夜、夜更けの月を眺めていたことも。,つらい世の中でも、この先を生きるなら、いつか懐かしく振り返るのだろうか。今夜、夜更けの月を眺めていたことも。
嵐に散らされた三室山の紅葉が、竜田川を彩っている。川の流れが、美しい錦の織物になったようだ。,嵐に散らされたみむろやまのもみじが、たつたがわを彩っている。川の流れが、美しいにしきの織物になったようだ。
寂しさに耐えかねて家を出てみたが、どこを眺めても同じだった。秋の夕暮れは、辺り一面に寂しさが満ちている。,寂しさに耐えかねていえを出てみたが、どこを眺めても同じだった。秋の夕暮れは、辺り一面に寂しさが満ちている。
夕方になると、家の前の田で稲の葉が音を立てる。その葉を揺らした秋風が、葦ぶきの小屋へ吹いてくる。,夕方になると、家の前の田で稲の葉がおとを立てる。その葉を揺らした秋風が、あしぶきの小屋へ吹いてくる。
評判に聞く高師の浜の波には、袖をぬらされまい。浮気者とうわさされるあなたにも心を寄せません、涙で袖をぬらすことになっては困るから。,評判に聞くたかしの浜の波には、そでをぬらされまい。うわきものとうわさされるあなたにも心を寄せません、涙でそでをぬらすことになっては困るから。
遠くの山の頂で、桜が咲いた。手前の山にかかる霞よ、どうか立ちこめず、その花を隠さないでほしい。,遠くの山の頂で、桜が咲いた。手前の山にかかるかすみよ、どうか立ちこめず、その花を隠さないでほしい。
初瀬の山から吹き下ろす風よ、あの人の冷たさまで激しくしてくれとは祈らなかったのに。,はつせの山から吹き下ろす風よ、あの人の冷たさまで激しくしてくれとは祈らなかったのに。
あなたが約束してくれた言葉を、よもぎの露のように、命をつなぐ頼りとしてきた。ああ、それでも今年の秋は過ぎていくようだ。,あなたが約束してくれた言葉を、よもぎの露のように、命をつなぐ頼りとしてきた。ああ、それでも今年の秋は過ぎていくようだ。
広い海へ舟をこぎ出すと、沖には白波がどこまでも続いている。遠くの雲と見分けがつかないほどだ。,広いうみへ舟をこぎ出すと、沖にはしらなみがどこまでも続いている。遠くの雲と見分けがつかないほどだ。
急な川の流れは、岩にせき止められて二つに分かれても、また一つになる。私たちも今は離れていても、いつか必ず会おうと思う。,急な川の流れは、岩にせき止められて二つに分かれても、また一つになる。私たちも今は離れていても、いつか必ず会おうと思う。
淡路島から渡ってくる千鳥の声に、須磨の番人は目を覚ます。こんな夜を、これまで幾度迎えたのだろう。,あわじしまから渡ってくるちどりの声に、すまの番人は目を覚ます。こんな夜を、これまで幾度迎えたのだろう。
秋風に流れる雲が途切れ、その間から月の光が差してくる。なんと澄みきった明るさだろう。,秋風に流れる雲が途切れ、そのあいだから月の光が差してくる。なんと澄みきった明るさだろう。
あなたの心がこの先も変わらないか、私には分からない。今朝は黒髪が乱れるように、心も乱れて思い悩んでいる。,あなたの心がこの先も変わらないか、私には分からない。今朝は黒髪が乱れるように、心も乱れて思い悩んでいる。
ほととぎすが鳴いた方へ目を向けたが、もう姿はない。明け方の月だけが、空に残っている。,ほととぎすが鳴いた方へ目を向けたが、もう姿はない。明け方の月だけが、空に残っている。
恋に苦しんでも、命はまだ絶えずにいる。それなのに、涙の方はつらさをこらえきれず、流れ出てしまう。,恋に苦しんでも、命はまだ絶えずにいる。それなのに、涙の方はつらさをこらえきれず、流れ出てしまう。
この世のつらさから逃れる道は、どこにもないのか。思い詰めて入った山奥でさえ、悲しげな鹿の声が聞こえてくる。,この世のつらさから逃れる道は、どこにもないのか。思い詰めて入った山奥でさえ、悲しげなしかの声が聞こえてくる。
生き続けていたら、今のつらい日々も、いつか懐かしくなるのだろうか。苦しいと思っていた昔が、今では恋しいのだから。,生き続けていたら、今のつらい日々も、いつか懐かしくなるのだろうか。苦しいと思っていた昔が、今では恋しいのだから。
一晩中思い悩んでいると、なかなか夜が明けない。寝室の隙間さえ、朝の光を入れてくれず、冷たく感じられる。,一晩じゅう思い悩んでいると、なかなか夜が明けない。寝室の隙間さえ、朝の光を入れてくれず、冷たく感じられる。
月が、嘆けと言って私を悩ませているわけではないのに。こぼれる涙は、まるで月のせいだと言わんばかりだ。,月が、なげけと言って私を悩ませているわけではないのに。こぼれる涙は、まるで月のせいだと言わんばかりだ。
通り雨が残した露は、木の葉でまだ乾いていない。その木々の辺りから霧が立ち上る、秋の夕暮れだ。,通り雨が残した露は、木の葉でまだ乾いていない。その木々の辺りから霧が立ち上る、秋の夕暮れだ。
難波の入江の葦の節ほど、ほんの短い夜をあなたと過ごした。そのために、これからも身を尽くして恋い慕い続けるのでしょうか。,なにわの入江のあしのふしほど、ほんの短い夜をあなたと過ごした。そのために、これからも身を尽くして恋い慕い続けるのでしょうか。
玉をつなぐ糸のような命よ、切れるなら切れてしまえ。このまま生きていては、こらえてきた恋心を隠しきれなくなる。,玉をつなぐ糸のような命よ、切れるなら切れてしまえ。このまま生きていては、こらえてきた恋心を隠しきれなくなる。
あなたに見せたい、涙で色まで変わった私の袖を。雄島の漁師の袖でさえ、水にぬれただけでは、これほどにはならないでしょう。,あなたに見せたい、涙で色まで変わった私のそでを。おじまの漁師のそででさえ、水にぬれただけでは、これほどにはならないでしょう。
霜の降りる寒い夜に、こおろぎが鳴いている。むしろの上に着物の片袖を敷き、私はひとりで寝るのだろうか。,霜のおりる寒い夜に、こおろぎが鳴いている。むしろの上に着物のかたそでをしき、私はひとりで寝るのだろうか。
潮が引いても水の下に隠れている沖の岩のように、私の袖も、人知れず涙にぬれ続け、乾く間がない。,潮が引いても水の下に隠れている沖の岩のように、私のそでも、ひとしれず涙にぬれ続け、乾くまがない。
世の中がいつまでも変わらずにあってほしい。渚に沿って小舟を綱で引く漁師の姿が、心にしみる。,世の中がいつまでも変わらずにあってほしい。渚に沿って小舟を綱で引く漁師の姿が、心にしみる。
かつて都だった吉野では、秋風が吹き、夜が更けていく。冷たく響いてくるのは、布を打つ音だ。,かつて都だったよしのでは、秋風が吹き、よが更けていく。冷たく響いてくるのは、布を打つおとだ。
力の及ばぬ願いかもしれないが、この山の僧となったからには、墨色の僧衣の袖を広げ、苦しむ人々を包んで守りたい。,力の及ばぬ願いかもしれないが、この山の僧となったからには、すみいろのそういのそでを広げ、苦しむ人々をつつんで守りたい。
嵐に散る桜が、庭に雪のように降っている。その花びらを眺めていると、古びて衰えていくのは、この私自身なのだと感じる。,嵐に散る桜が、庭に雪のようにふっている。その花びらを眺めていると、古びて衰えていくのは、この私自身なのだと感じる。
来てくれない人を待つ私は、松帆の浦の夕なぎに焼く藻塩のように、身を焦がして恋い慕っている。,来てくれない人を待つ私は、まつほの浦の夕なぎに焼くもしおのように、身を焦がして恋い慕っている。
風がそよぐ楢の小川の夕暮れは、もう秋のようだ。ここで身を清める行事をしているのを見て、まだ夏なのだと気づく。,風がそよぐならの小川の夕暮れは、もう秋のようだ。ここで身を清める行事をしているのを見て、まだ夏なのだと気づく。
人をいとしく思うこともあれば、恨めしく思うこともある。思いどおりにならない世の中に悩みながら、私はあれこれと思い巡らす。,人をいとしく思うこともあれば、恨めしく思うこともある。思いどおりにならない世の中に悩みながら、私はあれこれと思い巡らす。
昔の宮殿の軒には、しのぶ草が生えている。どれほど昔を思っても尽きることがなく、あの栄えた時代がますます恋しくなる。,昔の宮殿ののきには、しのぶ草が生えている。どれほど昔を思っても尽きることがなく、あの栄えた時代がますます恋しくなる。
