"上の句","上の句読み","下の句","下の句読み"
"なにしおはば　逢坂山の　さねかづら","なにしおわば、おうさかやまの、さねかずら","人に知られで　くるよしもがな","ひとにしられで、くるよしもがな"
"小倉山　峰のもみぢ葉　心あらば","おぐらやま、みねのもみじば、こころあらば","今ひとたびの　みゆき待たなむ","いまひとたびの、みゆきまたなん"
"みかの原　わきて流るる　いづみ川","みかのはら、わきてながるる、いずみがわ","いつみきとてか　恋しかるらむ","いつみきとてか、こいしかるらん"
"山里は　冬ぞさびしさ　まさりける","やまざとわ、ふゆぞさびしさ、まさりける","人目も草も　かれぬと思へば","ひとめもくさも、かれぬとおもえば"
"心あてに　折らばや折らむ　初霜の","こころあてに、おらばやおらん、はつしもの","おきまどはせる　白菊の花","おきまどわせる、しらぎくのはな"
"有明の　つれなく見えし　別れより","ありあけの、つれなくみえし、わかれより","あかつきばかり　憂きものはなし","あかつきばかり、うきものわなし"
"朝ぼらけ　有明の月と　見るまでに","あさぼらけ、ありあけのつきと、みるまでに","吉野の里に　降れる白雪","よしののさとに、ふれるしらゆき"
"山川に　風のかけたる　しがらみは","やまがわに、かぜのかけたる、しがらみわ","流れもあへぬ　もみぢなりけり","ながれもあえぬ、もみじなりけり"
"ひさかたの　光のどけき　春の日に","ひさかたの、ひかりのどけき、はるのひに","しづ心なく　花の散るらむ","しずこころなく、はなのちるらん"
"誰をかも　知る人にせむ　高砂の","たれおかも、しるひとにせん、たかさごの","松も昔の　友ならなくに","まつもむかしの、ともならなくに"
"人はいさ　心も知らず　ふるさとは","ひとわいさ、こころもしらず、ふるさとわ","花ぞ昔の　香ににほひける","花ぞむかしの、かににおいける"
"夏の夜は　まだ宵ながら　明けぬるを","なつのよわ、まだよいながら、あけぬるお","雲のいづこに　月宿るらむ","くものいずこに、つきやどるらん"
"白露に　風の吹きしく　秋の野は","しらつゆに、かぜのふきしく、あきののわ","つらぬきとめぬ　玉ぞ散りける","つらぬきとめぬ、たまぞちりける"
"忘らるる　身をば思はず　ちかひてし","わすらるる、みおばおもわず、ちかいてし","人の命の　惜しくもあるかな","ひとのいのちの、おしくもあるかな"
"浅茅生の　小野の篠原　しのぶれど","あさじうの、おののしのはら、しのぶれど","あまりてなどか　人の恋しき","あまりてなどか、ひとのこいしき"
"しのぶれど　色に出でにけり　我が恋は","しのぶれど、いろにいでにけり、わがこいわ","物や思ふと　人のとふまで","ものやおもうと、ひとのとうまで"
"恋すてふ　我が名はまだき　立ちにけり","こいすちょう、わがなわまだき、たちにけり","人知れずこそ　思ひそめしか","ひとしれずこそ、おもいそめしか"
"契りきな　かたみに袖を　しぼりつつ","ちぎりきな、かたみにそでお、しぼりつつ","末の松山　波越さじとは","すえのまつやま、なみこさじとわ"
"あひみての　後の心に　くらぶれば","あいみての、のちのこころに、くらぶれば","昔は物を　思はざりけり","むかしわものお、おもわざりけり"
"逢ふことの　たえてしなくは　なかなかに","あうことの、たえてしなくわ、なかなかに","人をも身をも　恨みざらまし","ひとおもみおも、うらみざらまし"
"あはれとも　いふべき人は　思ほえで","あわれとも、いうべきひとわ、おもおえで","身のいたづらに　なりぬべきかな","みのいたずらに、なりぬべきかな"
"由良のとを　渡る舟人　梶を絶え","ゆらのとお、わたるふなびと、かじおたえ","行方も知らぬ　恋の道かな","ゆくえもしらぬ、こいのみちかな"
"八重葎　しげれる宿の　さびしきに","やえむぐら、しげれるやどの、さびしきに","人こそ見えね　秋は来にけり","ひとこそみえね、あきわきにけり"
"風をいたみ　岩うつ波の　おのれのみ","かぜおいたみ、いわうつなみの、おのれのみ","砕けて物を　思ふころかな","くだけてものお、おもうころかな"
"みかきもり　衛士のたく火の　夜はもえ","みかきもり、えじのたくひの、よるわもえ","昼は消えつつ　物をこそ思へ","ひるわきえつつ、ものおこそおもえ"
"君がため　惜しからざりし　命さへ","きみがため、おしからざりし、いのちさえ","長くもがなと　思ひけるかな","ながくもがなと、おもいけるかな"
"かくとだに　えやはいぶきの　さしも草","かくとだに、えやわいぶきの、さしもぐさ","さしもしらじな　もゆる思ひを","さしもしらじな、もゆるおもいお"
"明けぬれば　暮るるものとは　知りながら","あけぬれば、くるるものとわ、しりながら","なほ恨めしき　朝ぼらけかな","なおうらめしき、あさぼらけかな"
"嘆きつつ　ひとりぬる夜の　明くるまは","なげきつつ、ひとりぬるよの、あくるまわ","いかに久しき　ものとかはしる","いかにひさしき、ものとかわしる"
"忘れじの　行末までは　難ければ","わすれじの、ゆくすえまでわ、かたければ","今日を限りの　命ともがな","きょうおかぎりの、いのちともがな"
"滝の音は　絶えて久しく　なりぬれど","たきのおとわ、たえてひさしく、なりぬれど","名こそ流れて　なほ聞こえけれ","なこそながれて、なおきこえけれ"
"あらざらむ　この世のほかの　思ひ出に","あらざらん、このよのほかの、おもいでに","今ひとたびの　あふこともがな","いまひとたびの、あうこともがな"
"めぐり逢ひて　見しやそれとも　わかぬ間に","めぐりあいて、みしやそれとも、わかぬまに","雲隠れにし　夜半の月かな","くもがくれにし、よわのつきかな"
"有馬山　猪名の笹原　風吹けば","ありまやま、いなのささはら、かぜふけば","いでそよ人を　忘れやはする","いでそよひとお、わすれやわする"
"やすらはで　寝なましものを　小夜ふけて","やすらわで、ねなましものお、さよふけて","かたぶくまでの　月を見しかな","かたぶくまでの、つきおみしかな"
"大江山　いく野の道の　遠ければ","おおえやま、いくののみちの、とおければ","まだふみも見ず　天の橋立","まだふみもみず、あまのはしだて"
"いにしへの　奈良の都の　八重桜","いにしえの、ならのみやこの、やえざくら","けふ九重に　にほひぬるかな","きょうここのえに、においぬるかな"
"夜をこめて　鳥の空音は　はかるとも","よおこめて、とりのそらねわ、はかるとも","よに逢坂の　関はゆるさじ","よにおうさかの、せきわゆるさじ"
"今はただ　思ひ絶えなむ　とばかりを","いまわただ、おもいたえなん、とばかりお","人づてならで　言うよしもがな","ひとづてならで、いうよしもがな"
"朝ぼらけ　宇治の川霧　絶えだえに","あさぼらけ、うじのかわぎり、たえだえに","あらはれわたる　瀬々の網代木","あらわれわたる、せぜのあじろぎ"
"うらみわび　干さぬ袖だに　あるものを","うらみわび、ほさぬそでだに、あるものお","恋に朽ちなむ　名こそ惜しけれ","こいにくちなん、なこそおしけれ"
"もろともに　あはれと思へ　山桜","もろともに、あわれとおもえ、やまざくら","花よりほかに　知る人もなし","はなよりほかに、しるひともなし"
"春の夜の　夢ばかりなる　手枕に","はるのよの、ゆめばかりなる、たまくらに","かひなく立たむ　名こそ惜しけれ","かいなくたたん、なこそおしけれ"
"心にも　あらで憂き世に　ながらへば","こころにも、あらでうきよに、ながらえば","恋しかるべき　夜半の月かな","こいしかるべき、よわのつきかな"
"あらし吹く　三室の山の　もみぢ葉は","あらしふく、みむろのやまの、もみじばわ","龍田の川の　錦なりけり","たつたのかわの、にしきなりけり"
"さびしさに　宿を立ち出でて　ながむれば","さびしさに、やどおたちいでて、ながむれば","いづこも同じ　秋の夕暮","いずこもおなじ、あきのゆうぐれ"
"夕されば　門田の稲葉　おとづれて","ゆうされば、かどたのいなば、おとずれて","蘆のまろ屋に　秋風ぞ吹く","あしのまろやに、あきかぜぞふく"
"音に聞く　高師の浜の　あだ波は","おとにきく、たかしの浜の、あだなみわ","かけじや袖の　濡れもこそすれ","かけじやそでの、ぬれもこそすれ"
"高砂の　尾上の桜　咲きにけり","たかさごの、おのえのさくら、さきにけり","外山の霞　立たずもあらなむ","とやまのかすみ、たたずもあらなん"
"憂かりける　人を初瀬の　山おろし","うかりける、ひとおはつせの、やまおろし","はげしかれとは　祈らぬものを","はげしかれとわ、いのらぬものお"
"契りおきし　させもが露を　命にて","ちぎりおきし、させもがつゆお、いのちにて","あはれ今年の　秋もいぬめり","あわれことしの、あきもいぬめり"
"わたの原　漕ぎ出でて見れば　久方の","わたのはら、こぎいでてみれば、ひさかたの","雲居にまがふ　沖つ白波","くもいにまがう、おきつしらなみ"
"瀬をはやみ　岩にせかるる　滝川の","せおはやみ、いわにせかるる、たきがわの","われても末に　逢はむとぞ思ふ","われてもすえに、あわんとぞおもう"
"淡路島　かよふ千鳥の　鳴く声に","あわじしま、かようちどりの、なくこえに","幾夜寝覚めぬ　須磨の関守","いくよねざめぬ、すまのせきもり"
"秋風に　たなびく雲の　絶え間より","あきかぜに、たなびくくもの、たえまより","もれ出づる月の　影のさやけさ","もれいずるつきの、かげのさやけさ"
"長からむ　心もしらず　黒髪の","ながからん、こころもしらず、くろかみの","みだれて今朝は　物をこそ思へ","みだれてけさわ、ものおこそおもえ"
"ほととぎす　鳴きつる方を　ながむれば","ほととぎす、なきつるかたお、ながむれば","ただ有明の　月ぞ残れる","ただありあけの、つきぞのこれる"
"思ひわび　さても命は　あるものを","おもいわび、さてもいのちわ、あるものお","憂きにたへぬは　涙なりけり","うきにたえぬわ、なみだなりけり"
"世の中よ　道こそなけれ　思ひ入る","よのなかよ、みちこそなけれ、おもいいる","山の奥にも　鹿ぞ鳴くなる","やまのおくにも、しかぞなくなる"
"ながらへば　またこのごろや　しのばれむ","ながらえば、またこのごろや、しのばれん","憂しと見し世ぞ　今は恋しき","うしとみしよぞ、いまわこいしき"
"夜もすがら　物思ふころは　明けやらで","よもすがら、ものおもうころわ、あけやらで","閨のひまさへ　つれなかりけり","ねやのひまさえ、つれなかりけり"
"嘆けとて　月やは物を　思はする","なげけとて、つきやわものお、おもわする","かこち顔なる　我が涙かな","かこちがおなる、わがなみだかな"
"村雨の　露もまだひぬ　真木の葉に","むらさめの、つゆもまだひぬ、まきの葉に","霧立ちのぼる　秋の夕暮","きりたちのぼる、あきのゆうぐれ"
"難波江の　蘆のかりねの　ひとよゆゑ","なにわえの、あしのかりねの、ひとよゆえ","みをつくしてや　恋ひわたるべき","みおつくしてや、こいわたるべき"
"玉のをよ　たえなばたえね　ながらへば","たまのおよ、たえなばたえね、ながらえば","忍ぶることの　弱りもぞする","しのぶることの、よわりもぞする"
"見せばやな　雄島の海人の　袖だにも","みせばやな、おじまのあまの、そでだにも","濡れにぞ濡れし　色は変はらず","ぬれにぞぬれし、いろわかわらず"
"きりぎりす　鳴くや霜夜の　さむしろに","きりぎりす、なくやしもよの、さむしろに","衣かたしき　ひとりかも寝む","ころもかたしき、ひとりかもねん"
"我が袖は　潮干に見えぬ　沖の石の","わがそでわ、しおひにみえぬ、おきのいしの","人こそ知らね　乾く間もなし","ひとこそしらね、かわくまもなし"
"世の中は　常にもがもな　渚漕ぐ","よのなかわ、つねにもがもな、なぎさこぐ","海人の小舟の　綱手かなしも","あまのおぶねの、つなでかなしも"
"み吉野の　山の秋風　小夜ふけて","みよしのの、やまのあきかぜ、さよふけて","ふるさと寒く　衣うつなり","ふるさとさむく、ころもうつなり"
"おほけなく　憂き世の民に　おほふかな","おおけなく、うきよのたみに、おおうかな","我が立つ杣に　墨染の袖","わがたつそまに、すみぞめのそで"
"花さそふ　あらしの庭の　雪ならで","花さそう、あらしのにわの、ゆきならで","ふりゆくものは　我が身なりけり","ふりゆくものわ、わがみなりけり"
"来ぬ人を　まつほの浦の　夕なぎに","こぬひとお、まつほのうらの、ゆうなぎに","焼くや藻塩の　身もこがれつつ","やくやもしおの、みもこがれつつ"
"風そよぐ　ならの小川の　夕暮は","かぜそよぐ、ならのおがわの、ゆうぐれわ","みそぎぞ夏の　しるしなりける","みそぎぞなつの、しるしなりける"
"人もをし　人もうらめし　あぢきなく","ひともおし、ひともうらめし、あじきなく","世を思ふゆゑに　物思ふ身は","よおおもうゆえに、ものおもうみわ"
"ももしきや　古き軒端の　しのぶにも","ももしきや、ふるきのきばの、しのぶにも","なほあまりある　昔なりけり","なおあまりある、むかしなりけり"
